Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Power pad abd 2-3
aerosol can,15,6,6,1,,,,Power pad abd 2-3
sponge,10,6,2.5,-1,,,,Power pad abd 2-3
small toy,7,7,3.5,-0.5,,,,Power pad abd 2-3
trash can,15,15,1,-0.5,,,,Power pad abd 2-3
aerosol can cap,6,6,5,0.5,,,,Power pad abd 2-3
deoderant,12,6,2.5,-1,,,,Power pad abd 2-3
door knob,6,6,5.5,0.5,,,,Power pad abd 2-3
small knob,4.5,2.5,2.5,1,,,,Power pad abd 2-3
vacuum cleaner,15,4.5,4.5,1,,,,Power pad abd 2-3
electrical plug,5,2,1.5,1,,,,Power pad abd 2-3
rod,15,1.25,1.25,1,,,,Power pad abd 2-3
small plastic squeeze bottle,12.5,4,4,1,,,,Power pad abd 2-3
medium knob,3.5,3.5,3.5,0.5,,,,Power pad abd 2-3
small drum-like part,10.5,8.5,8.5,0.5,,,,Power pad abd 2-3
rod-like handle,15,1.25,1.25,1,,,,Power pad abd 2-3
knob,3,3,3,0.5,,,,Power pad abd 2-3
base of handle,12.5,2.5,2.5,1,,,,Power pad abd 2-3
large knob,4,2.5,2.5,1,,,,Power pad abd 2-3
tape measure,5,5,2,-0.5,,,,Power pad abd 2-3
